CD/State,Num per 1000,Region
NY7,2913.0434782608695,Congressional District
NY8,4826.086956521739,Congressional District
NY9,23500.0,Congressional District
OH1,3147.2868217054265,Congressional District
OH10,1961.1650485436894,Congressional District
OH11,1609.375,Congressional District
OH12,3754.285714285714,Congressional District
OH13,5640.883977900552,Congressional District
OH14,4102.756892230576,Congressional District
OH15,4872.340425531915,Congressional District
OH16,4528.384279475982,Congressional District
OH2,2864.705882352941,Congressional District
OH3,1159.090909090909,Congressional District
OH4,3426.190476190476,Congressional District
OH5,3728.3582089552237,Congressional District
OH6,3313.9013452914796,Congressional District
OH8,2608.187134502924,Congressional District
OH9,2419.5804195804194,Congressional District
OK1,5831.858407079646,Congressional District
OK2,5502.7027027027025,Congressional District
OK3,4017.3010380622836,Congressional District
OK4,3169.1176470588234,Congressional District
OK5,4619.047619047619,Congressional District
OR1,87.5,Congressional District
OR2,383.6363636363636,Congressional District
OR3,97.12230215827338,Congressional District
OR4,224.75106685633003,Congressional District
OR5,111.9186046511628,Congressional District
PA1,710.0840336134454,Congressional District
PA10,1034.1176470588234,Congressional District
PA11,716.71826625387,Congressional District
PA12,834.5195729537367,Congressional District
PA13,286.27450980392155,Congressional District
PA14,775.0556792873051,Congressional District
PA15,1294.228949858089,Congressional District
PA16,817.1846435100548,Congressional District
PA17,1185.2654387865655,Congressional District
PA18,816.3962425277541,Congressional District
PA2,116.66666666666667,Congressional District
PA3,520.2143205065757,Congressional District
PA5,591.2148793035219,Congressional District
PA6,487.94489092996554,Congressional District
PA7,1119.718309859155,Congressional District
PA8,1602.9579067121729,Congressional District
PA9,532.777115613826,Congressional District
PR0,8976.897689768977,Congressional District
RI1,1217.557251908397,Congressional District
RI2,1425.0,Congressional District
SC1,496.2406015037594,Congressional District
SC2,1428.5714285714287,Congressional District
SC3,1409.4202898550725,Congressional District
SC4,236.28691983122363,Congressional District
SC5,1080.5369127516778,Congressional District
SC6,1320.0,Congressional District
SC7,1617.391304347826,Congressional District
TN1,326.9230769230769,Congressional District
TN2,225.95078299776287,Congressional District
TN3,337.94466403162056,Congressional District
TN4,328.6494925839188,Congressional District
TN5,134.29951690821255,Congressional District
TN6,369.8412698412698,Congressional District
TN7,560.5504587155963,Congressional District
TN8,650.9635974304068,Congressional District
TX1,1005.7142857142857,Congressional District
TX10,225.36136662286467,Congressional District
TX11,368.28859060402687,Congressional District
TX12,152.87958115183247,Congressional District
TX13,482.7586206896552,Congressional District
TX14,749.5256166982922,Congressional District
TX15,363.95147313691507,Congressional District
TX16,61.705989110707804,Congressional District
TX17,401.59574468085106,Congressional District
TX18,234.43223443223442,Congressional District
TX19,107.59493670886076,Congressional District
TX2,249.12280701754386,Congressional District
TX20,9.784735812133073,Congressional District
TX21,74.66918714555766,Congressional District
TX22,192.95302013422818,Congressional District
TX23,265.37216828478967,Congressional District
TX24,3.9761431411530817,Congressional District
TX25,353.3333333333333,Congressional District
